identifier_name,filepath,line_number,start_index,end_index,violation_list
repr,basic_examples/extra_stuff.py,42,6,10,Number of Words;Short Identifier Name
sal_more_than_30k,basic_examples/extra_stuff.py,42,11,28,Number of Words
eval,basic_examples/extra_stuff.py,44,0,4,Number of Words;Short Identifier Name
repr,basic_examples/extra_stuff.py,44,5,9,Number of Words;Short Identifier Name
sal_more_than_30k,basic_examples/extra_stuff.py,44,10,27,Number of Words
sayHello,basic_examples/my_module.py,0,4,12,Short Identifier Name
__name__,basic_examples/my_module.py,3,17,25,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
num,basic_examples/python_booleans.py,3,0,3,Number of Words;Short Identifier Name
num,basic_examples/python_booleans.py,4,3,6,Number of Words;Short Identifier Name
num,basic_examples/python_booleans.py,5,10,13,Number of Words;Short Identifier Name
num,basic_examples/python_booleans.py,7,10,13,Number of Words;Short Identifier Name
What,basic_examples/python_booleans.py,10,7,11,Capitalisation Anomaly
we,basic_examples/python_booleans.py,10,12,14,Number of Words;Short Identifier Name
just,basic_examples/python_booleans.py,10,15,19,Number of Words;Short Identifier Name
saw,basic_examples/python_booleans.py,10,20,23,Number of Words;Short Identifier Name
are,basic_examples/python_booleans.py,10,24,27,Number of Words;Short Identifier Name
conditional,basic_examples/python_booleans.py,10,28,39,Number of Words
statements,basic_examples/python_booleans.py,10,40,50,Number of Words
print,basic_examples/python_booleans.py,11,0,5,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,2,0,3,Number of Words;Short Identifier Name
int,basic_examples/python_control.py,2,6,9,Number of Words;Short Identifier Name
raw_input,basic_examples/python_control.py,2,10,19,Number of Words
age,basic_examples/python_control.py,4,3,6,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,6,5,8,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,6,18,21,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,8,5,8,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,8,19,22,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,10,5,8,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,10,19,22,Number of Words;Short Identifier Name
number,basic_examples/python_control.py,18,0,6,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,18,9,12,Number of Words;Short Identifier Name
fact,basic_examples/python_control.py,19,0,4,Number of Words;Short Identifier Name
st,basic_examples/python_control.py,20,0,2,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,21,6,9,Number of Words;Short Identifier Name
fact,basic_examples/python_control.py,22,2,6,Number of Words;Short Identifier Name
fact,basic_examples/python_control.py,22,9,13,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,22,16,19,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,23,2,5,Number of Words;Short Identifier Name
age,basic_examples/python_control.py,23,8,11,Number of Words;Short Identifier Name
fact,basic_examples/python_control.py,26,36,40,Number of Words;Short Identifier Name
i,basic_examples/python_control.py,31,4,5,Number of Words
range,basic_examples/python_control.py,31,9,14,Number of Words;Short Identifier Name
i,basic_examples/python_control.py,32,8,9,Number of Words
i,basic_examples/python_control.py,36,4,5,Number of Words
range,basic_examples/python_control.py,36,9,14,Number of Words;Short Identifier Name
i,basic_examples/python_control.py,37,8,9,Number of Words
num,basic_examples/python_conversions.py,3,0,3,Number of Words;Short Identifier Name
eight,basic_examples/python_conversions.py,5,0,5,Number of Words;Numeric Identifier Name;Short Identifier Name
str,basic_examples/python_conversions.py,5,8,11,Number of Words;Short Identifier Name
num,basic_examples/python_conversions.py,5,12,15,Number of Words;Short Identifier Name
type,basic_examples/python_conversions.py,6,27,31,Number of Words;Short Identifier Name
eight,basic_examples/python_conversions.py,6,32,37,Number of Words;Numeric Identifier Name;Short Identifier Name
num8,basic_examples/python_conversions.py,9,0,4,Number of Words;Short Identifier Name
int,basic_examples/python_conversions.py,9,7,10,Number of Words;Short Identifier Name
eight,basic_examples/python_conversions.py,9,11,16,Number of Words;Numeric Identifier Name;Short Identifier Name
type,basic_examples/python_conversions.py,10,26,30,Number of Words;Short Identifier Name
num8,basic_examples/python_conversions.py,10,31,35,Number of Words;Short Identifier Name
t,basic_examples/python_conversions.py,12,0,1,Number of Words
strt,basic_examples/python_conversions.py,13,0,4,Number of Words;Short Identifier Name
str,basic_examples/python_conversions.py,13,7,10,Number of Words;Short Identifier Name
t,basic_examples/python_conversions.py,13,11,12,Number of Words
type,basic_examples/python_conversions.py,14,26,30,Number of Words;Short Identifier Name
strt,basic_examples/python_conversions.py,14,31,35,Number of Words;Short Identifier Name
phonebook,basic_examples/python_dictionary.py,7,0,9,Number of Words
phonebook,basic_examples/python_dictionary.py,10,6,15,Number of Words
phonebook,basic_examples/python_dictionary.py,12,0,9,Number of Words
phonebook,basic_examples/python_dictionary.py,15,0,9,Number of Words
phonebook,basic_examples/python_dictionary.py,17,6,15,Number of Words
k,basic_examples/python_dictionary.py,20,4,5,Number of Words
phonebook,basic_examples/python_dictionary.py,20,9,18,Number of Words
keys,basic_examples/python_dictionary.py,20,19,23,Number of Words;Short Identifier Name
k,basic_examples/python_dictionary.py,21,9,10,Number of Words
phonebook,basic_examples/python_dictionary.py,21,12,21,Number of Words
k,basic_examples/python_dictionary.py,21,22,23,Number of Words
phonebook,basic_examples/python_dictionary.py,24,4,13,Number of Words
k,basic_examples/python_dictionary.py,27,4,5,Number of Words
v,basic_examples/python_dictionary.py,27,7,8,Number of Words;Short Identifier Name
phonebook,basic_examples/python_dictionary.py,27,12,21,Number of Words
items,basic_examples/python_dictionary.py,27,22,27,Number of Words;Short Identifier Name
k,basic_examples/python_dictionary.py,28,9,10,Number of Words
v,basic_examples/python_dictionary.py,28,12,13,Number of Words;Short Identifier Name
MyMethodNotImplementedError,basic_examples/python_exceptions.py,2,6,33,Capitalisation Anomaly
Exception,basic_examples/python_exceptions.py,2,34,43,Capitalisation Anomaly
__init__,basic_examples/python_exceptions.py,3,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_exceptions.py,3,15,19,Number of Words;Short Identifier Name
Exception,basic_examples/python_exceptions.py,4,4,13,Capitalisation Anomaly
__init__,basic_examples/python_exceptions.py,4,14,22,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_exceptions.py,4,23,27,Number of Words;Short Identifier Name
some_method,basic_examples/python_exceptions.py,9,4,15,Number of Words
NotImplementedError,basic_examples/python_exceptions.py,10,8,27,Capitalisation Anomaly
another_method,basic_examples/python_exceptions.py,12,4,18,Number of Words
MyMethodNotImplementedError,basic_examples/python_exceptions.py,13,8,35,Capitalisation Anomaly
some_method,basic_examples/python_exceptions.py,16,2,13,Number of Words
NotImplementedError,basic_examples/python_exceptions.py,17,7,26,Capitalisation Anomaly
e,basic_examples/python_exceptions.py,17,28,29,Number of Words
e,basic_examples/python_exceptions.py,18,38,39,Number of Words
another_method,basic_examples/python_exceptions.py,20,0,14,Number of Words
os,basic_examples/python_files.py,2,7,9,Number of Words;Short Identifier Name
read_file,basic_examples/python_files.py,4,4,13,Number of Words
name,basic_examples/python_files.py,4,14,18,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,5,39,43,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,6,2,3,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,10,4,5,Number of Words;Short Identifier Name
file,basic_examples/python_files.py,10,8,12,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,10,13,17,Number of Words;Short Identifier Name
line,basic_examples/python_files.py,11,4,8,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,11,11,12,Number of Words;Short Identifier Name
readline,basic_examples/python_files.py,11,13,21,Number of Words;Short Identifier Name
len,basic_examples/python_files.py,12,10,13,Number of Words;Short Identifier Name
line,basic_examples/python_files.py,12,14,18,Number of Words;Short Identifier Name
line,basic_examples/python_files.py,13,12,16,Number of Words;Short Identifier Name
line,basic_examples/python_files.py,14,6,10,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,14,13,14,Number of Words;Short Identifier Name
readline,basic_examples/python_files.py,14,15,23,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,16,7,8,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,17,6,7,Number of Words;Short Identifier Name
close,basic_examples/python_files.py,17,8,13,Number of Words;Short Identifier Name
create_module,basic_examples/python_files.py,19,4,17,Number of Words
name,basic_examples/python_files.py,19,18,22,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,20,29,33,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,21,2,3,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,25,4,5,Number of Words;Short Identifier Name
file,basic_examples/python_files.py,25,8,12,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,25,13,17,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,28,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,28,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,29,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,29,6,11,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,29,30,34,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,30,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,30,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,31,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,31,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,32,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,32,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,33,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,33,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,34,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,34,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,35,4,5,Number of Words;Short Identifier Name
write,basic_examples/python_files.py,35,6,11,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,37,7,8,Number of Words;Short Identifier Name
f,basic_examples/python_files.py,38,6,7,Number of Words;Short Identifier Name
close,basic_examples/python_files.py,38,8,13,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,40,0,4,Number of Words;Short Identifier Name
create_module,basic_examples/python_files.py,44,2,15,Number of Words
read_file,basic_examples/python_files.py,45,2,11,Number of Words
name,basic_examples/python_files.py,45,12,16,Number of Words;Short Identifier Name
os,basic_examples/python_files.py,47,2,4,Number of Words;Short Identifier Name
remove,basic_examples/python_files.py,47,5,11,Number of Words;Short Identifier Name
name,basic_examples/python_files.py,47,12,16,Number of Words;Short Identifier Name
Exception,basic_examples/python_files.py,48,7,16,Capitalisation Anomaly
e,basic_examples/python_files.py,48,18,19,Number of Words
e,basic_examples/python_files.py,49,45,46,Number of Words
max_val,basic_examples/python_functions.py,8,4,11,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,8,12,13,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,8,14,15,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,16,5,6,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,16,9,10,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,17,11,12,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,18,7,8,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,18,11,12,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,19,11,12,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,21,11,12,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,23,4,11,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,23,12,13,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,23,14,15,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,31,5,6,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,31,9,10,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,32,11,12,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,33,7,8,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,33,11,12,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,34,11,12,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,36,11,12,Number of Words;Short Identifier Name
print_usage,basic_examples/python_functions.py,38,4,15,Number of Words
init_msg,basic_examples/python_functions.py,38,16,24,Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,38,26,33,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,38,40,47,Number of Words;Short Identifier Name
init_msg,basic_examples/python_functions.py,40,8,16,Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,41,5,12,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,43,5,12,Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,48,6,13,Number of Words;Short Identifier Name
__doc__,basic_examples/python_functions.py,48,14,21,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,49,0,7,Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,50,0,7,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,50,10,11,Number of Words;Short Identifier Name
max_val,basic_examples/python_functions.py,51,0,7,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,51,8,9,Number of Words;Short Identifier Name
a,basic_examples/python_functions.py,51,12,13,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,54,6,13,Number of Words;Short Identifier Name
__doc__,basic_examples/python_functions.py,54,14,21,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,55,0,7,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,56,0,7,Number of Words;Short Identifier Name
min_val,basic_examples/python_functions.py,57,0,7,Number of Words;Short Identifier Name
b,basic_examples/python_functions.py,57,10,11,Number of Words;Short Identifier Name
print_usage,basic_examples/python_functions.py,59,0,11,Number of Words
jvm_langs,basic_examples/python_lists.py,2,0,9,Number of Words
jvm_langs,basic_examples/python_lists.py,5,20,29,Number of Words
__len__,basic_examples/python_lists.py,5,30,37,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
len,basic_examples/python_lists.py,10,20,23,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_lists.py,10,24,33,Number of Words
jvm_langs,basic_examples/python_lists.py,13,0,9,Number of Words
append,basic_examples/python_lists.py,13,10,16,Number of Words;Short Identifier Name
lang,basic_examples/python_lists.py,16,4,8,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_lists.py,16,12,21,Number of Words
lang,basic_examples/python_lists.py,17,8,12,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_lists.py,20,34,43,Number of Words
jvm_langs,basic_examples/python_lists.py,21,40,49,Number of Words
jvm_langs,basic_examples/python_lists.py,22,43,52,Number of Words
jvm_langs,basic_examples/python_lists.py,25,0,9,Number of Words
sort,basic_examples/python_lists.py,25,10,14,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_lists.py,26,6,15,Number of Words
i,basic_examples/python_logical_lines.py,1,0,1,Number of Words
i,basic_examples/python_logical_lines.py,2,6,7,Number of Words
i,basic_examples/python_logical_lines.py,5,0,1,Number of Words
j,basic_examples/python_logical_lines.py,5,7,8,Number of Words
i,basic_examples/python_logical_lines.py,6,6,7,Number of Words
j,basic_examples/python_logical_lines.py,6,10,11,Number of Words
sys,basic_examples/python_modules.py,2,7,10,Number of Words;Short Identifier Name
my_module,basic_examples/python_modules.py,3,7,16,Number of Words
sys,basic_examples/python_modules.py,6,40,43,Number of Words;Short Identifier Name
argv,basic_examples/python_modules.py,6,44,48,Number of Words;Short Identifier Name
sys,basic_examples/python_modules.py,8,28,31,Number of Words;Short Identifier Name
path,basic_examples/python_modules.py,8,32,36,Number of Words;Short Identifier Name
my_module,basic_examples/python_modules.py,11,0,9,Number of Words
sayHello,basic_examples/python_modules.py,11,10,18,Short Identifier Name
num,basic_examples/python_numbers.py,4,0,3,Number of Words;Short Identifier Name
num,basic_examples/python_numbers.py,5,73,76,Number of Words;Short Identifier Name
num,basic_examples/python_numbers.py,7,32,35,Number of Words;Short Identifier Name
num,basic_examples/python_numbers.py,8,34,37,Number of Words;Short Identifier Name
num,basic_examples/python_numbers.py,15,0,3,Number of Words;Short Identifier Name
num,basic_examples/python_numbers.py,16,20,23,Number of Words;Short Identifier Name
max64BitInt,basic_examples/python_numbers.py,25,0,11,Dictionary Words;Naming Convention Anomoly
bigNum,basic_examples/python_numbers.py,26,0,6,Dictionary Words;Short Identifier Name
max64BitInt,basic_examples/python_numbers.py,26,9,20,Dictionary Words;Naming Convention Anomoly
bigNum,basic_examples/python_numbers.py,27,31,37,Dictionary Words;Short Identifier Name
InvoiceItem,basic_examples/python_objects.py,2,6,17,Capitalisation Anomaly
__str__,basic_examples/python_objects.py,4,6,13,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,4,14,18,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,5,11,15,Number of Words;Short Identifier Name
text,basic_examples/python_objects.py,5,16,20,Number of Words;Short Identifier Name
str,basic_examples/python_objects.py,5,29,32,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,5,33,37,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,5,38,41,Number of Words;Short Identifier Name
__init__,basic_examples/python_objects.py,7,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,7,15,19,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,7,23,29,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,8,4,8,Number of Words;Short Identifier Name
text,basic_examples/python_objects.py,8,9,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,9,4,8,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,9,9,12,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,10,7,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,11,6,10,Number of Words;Short Identifier Name
text,basic_examples/python_objects.py,11,11,15,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,11,18,24,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,12,7,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,13,6,10,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,13,11,14,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,13,17,23,Number of Words;Short Identifier Name
Invoice,basic_examples/python_objects.py,15,6,13,Capitalisation Anomaly
my_company_name,basic_examples/python_objects.py,17,2,17,Number of Words
staticmethod,basic_examples/python_objects.py,20,3,15,Number of Words
get_service_tax_per,basic_examples/python_objects.py,21,6,25,Number of Words
__str__,basic_examples/python_objects.py,25,6,13,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,25,14,18,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,26,11,15,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,26,16,22,Number of Words;Short Identifier Name
str,basic_examples/python_objects.py,26,31,34,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,26,35,39,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,26,40,43,Number of Words;Short Identifier Name
__init__,basic_examples/python_objects.py,28,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,28,15,19,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,28,23,29,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,29,4,8,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,29,9,15,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,30,4,8,Number of Words;Short Identifier Name
client,basic_examples/python_objects.py,30,9,15,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,31,4,8,Number of Words;Short Identifier Name
date,basic_examples/python_objects.py,31,9,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,32,4,8,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,32,9,22,Number of Words
add_invoice_item,basic_examples/python_objects.py,34,6,22,Number of Words
self,basic_examples/python_objects.py,34,23,27,Number of Words;Short Identifier Name
invoice_entry,basic_examples/python_objects.py,34,29,42,Number of Words
self,basic_examples/python_objects.py,35,4,8,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,35,9,22,Number of Words
append,basic_examples/python_objects.py,35,23,29,Number of Words;Short Identifier Name
invoice_entry,basic_examples/python_objects.py,35,30,43,Number of Words
amt,basic_examples/python_objects.py,37,6,9,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,37,10,14,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,38,4,7,Number of Words;Short Identifier Name
item,basic_examples/python_objects.py,39,8,12,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,39,16,20,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,39,21,34,Number of Words
amt,basic_examples/python_objects.py,40,6,9,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,40,12,15,Number of Words;Short Identifier Name
item,basic_examples/python_objects.py,40,18,22,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,40,23,26,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,41,11,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,43,0,7,Number of Words;Short Identifier Name
Invoice,basic_examples/python_objects.py,43,10,17,Capitalisation Anomaly
invoice,basic_examples/python_objects.py,44,0,7,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,44,8,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,45,0,7,Number of Words;Short Identifier Name
client,basic_examples/python_objects.py,45,8,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,46,0,7,Number of Words;Short Identifier Name
date,basic_examples/python_objects.py,46,8,12,Number of Words;Short Identifier Name
invoice_item,basic_examples/python_objects.py,48,0,12,Number of Words
InvoiceItem,basic_examples/python_objects.py,48,15,26,Capitalisation Anomaly
text,basic_examples/python_objects.py,48,27,31,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,48,52,55,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,49,0,7,Number of Words;Short Identifier Name
add_invoice_item,basic_examples/python_objects.py,49,8,24,Number of Words
invoice_item,basic_examples/python_objects.py,49,25,37,Number of Words
invoice,basic_examples/python_objects.py,51,6,13,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,6,7,9,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,8,33,35,Number of Words;Short Identifier Name
name,basic_examples/python_os_module.py,8,36,40,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,9,25,27,Number of Words;Short Identifier Name
getlogin,basic_examples/python_os_module.py,9,28,36,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,10,45,47,Number of Words;Short Identifier Name
getcwd,basic_examples/python_os_module.py,10,48,54,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,11,31,33,Number of Words;Short Identifier Name
getenv,basic_examples/python_os_module.py,11,34,40,Number of Words;Short Identifier Name
sys,basic_examples/python_read.py,1,5,8,Number of Words;Short Identifier Name
argv,basic_examples/python_read.py,1,16,20,Number of Words;Short Identifier Name
script,basic_examples/python_read.py,3,0,6,Number of Words;Short Identifier Name
filename,basic_examples/python_read.py,3,8,16,Number of Words;Short Identifier Name
argv,basic_examples/python_read.py,3,19,23,Number of Words;Short Identifier Name
