identifier_name,filepath,line_number,start_index,end_index
emp,basic_examples/extra_stuff.py,32,8,11
sal_more_than_30k,basic_examples/extra_stuff.py,35,0,17
filter,basic_examples/extra_stuff.py,35,20,26
e,basic_examples/extra_stuff.py,35,34,35
e,basic_examples/extra_stuff.py,35,38,39
salary,basic_examples/extra_stuff.py,35,40,46
employees,basic_examples/extra_stuff.py,35,56,65
str,basic_examples/extra_stuff.py,36,19,22
len,basic_examples/extra_stuff.py,36,23,26
sal_more_than_30k,basic_examples/extra_stuff.py,36,27,44
emp,basic_examples/extra_stuff.py,37,4,7
sal_more_than_30k,basic_examples/extra_stuff.py,37,11,28
emp,basic_examples/extra_stuff.py,38,8,11
repr,basic_examples/extra_stuff.py,42,6,10
sal_more_than_30k,basic_examples/extra_stuff.py,42,11,28
eval,basic_examples/extra_stuff.py,44,0,4
repr,basic_examples/extra_stuff.py,44,5,9
sal_more_than_30k,basic_examples/extra_stuff.py,44,10,27
sayHello,basic_examples/my_module.py,0,4,12
__name__,basic_examples/my_module.py,3,17,25
num,basic_examples/python_booleans.py,3,0,3
num,basic_examples/python_booleans.py,4,3,6
num,basic_examples/python_booleans.py,5,10,13
num,basic_examples/python_booleans.py,7,10,13
What,basic_examples/python_booleans.py,10,7,11
we,basic_examples/python_booleans.py,10,12,14
just,basic_examples/python_booleans.py,10,15,19
saw,basic_examples/python_booleans.py,10,20,23
are,basic_examples/python_booleans.py,10,24,27
conditional,basic_examples/python_booleans.py,10,28,39
statements,basic_examples/python_booleans.py,10,40,50
print,basic_examples/python_booleans.py,11,0,5
age,basic_examples/python_control.py,2,0,3
int,basic_examples/python_control.py,2,6,9
raw_input,basic_examples/python_control.py,2,10,19
age,basic_examples/python_control.py,4,3,6
age,basic_examples/python_control.py,6,5,8
age,basic_examples/python_control.py,6,18,21
age,basic_examples/python_control.py,8,5,8
age,basic_examples/python_control.py,8,19,22
age,basic_examples/python_control.py,10,5,8
age,basic_examples/python_control.py,10,19,22
number,basic_examples/python_control.py,18,0,6
age,basic_examples/python_control.py,18,9,12
fact,basic_examples/python_control.py,19,0,4
st,basic_examples/python_control.py,20,0,2
age,basic_examples/python_control.py,21,6,9
fact,basic_examples/python_control.py,22,2,6
fact,basic_examples/python_control.py,22,9,13
age,basic_examples/python_control.py,22,16,19
age,basic_examples/python_control.py,23,2,5
age,basic_examples/python_control.py,23,8,11
fact,basic_examples/python_control.py,26,36,40
i,basic_examples/python_control.py,31,4,5
range,basic_examples/python_control.py,31,9,14
i,basic_examples/python_control.py,32,8,9
i,basic_examples/python_control.py,36,4,5
range,basic_examples/python_control.py,36,9,14
i,basic_examples/python_control.py,37,8,9
num,basic_examples/python_conversions.py,3,0,3
eight,basic_examples/python_conversions.py,5,0,5
str,basic_examples/python_conversions.py,5,8,11
num,basic_examples/python_conversions.py,5,12,15
type,basic_examples/python_conversions.py,6,27,31
eight,basic_examples/python_conversions.py,6,32,37
num8,basic_examples/python_conversions.py,9,0,4
int,basic_examples/python_conversions.py,9,7,10
eight,basic_examples/python_conversions.py,9,11,16
type,basic_examples/python_conversions.py,10,26,30
num8,basic_examples/python_conversions.py,10,31,35
t,basic_examples/python_conversions.py,12,0,1
strt,basic_examples/python_conversions.py,13,0,4
str,basic_examples/python_conversions.py,13,7,10
t,basic_examples/python_conversions.py,13,11,12
type,basic_examples/python_conversions.py,14,26,30
strt,basic_examples/python_conversions.py,14,31,35
phonebook,basic_examples/python_dictionary.py,7,0,9
phonebook,basic_examples/python_dictionary.py,10,6,15
phonebook,basic_examples/python_dictionary.py,12,0,9
phonebook,basic_examples/python_dictionary.py,15,0,9
phonebook,basic_examples/python_dictionary.py,17,6,15
k,basic_examples/python_dictionary.py,20,4,5
phonebook,basic_examples/python_dictionary.py,20,9,18
keys,basic_examples/python_dictionary.py,20,19,23
k,basic_examples/python_dictionary.py,21,9,10
phonebook,basic_examples/python_dictionary.py,21,12,21
k,basic_examples/python_dictionary.py,21,22,23
phonebook,basic_examples/python_dictionary.py,24,4,13
k,basic_examples/python_dictionary.py,27,4,5
v,basic_examples/python_dictionary.py,27,7,8
phonebook,basic_examples/python_dictionary.py,27,12,21
items,basic_examples/python_dictionary.py,27,22,27
k,basic_examples/python_dictionary.py,28,9,10
v,basic_examples/python_dictionary.py,28,12,13
MyMethodNotImplementedError,basic_examples/python_exceptions.py,2,6,33
Exception,basic_examples/python_exceptions.py,2,34,43
__init__,basic_examples/python_exceptions.py,3,6,14
self,basic_examples/python_exceptions.py,3,15,19
Exception,basic_examples/python_exceptions.py,4,4,13
__init__,basic_examples/python_exceptions.py,4,14,22
self,basic_examples/python_exceptions.py,4,23,27
some_method,basic_examples/python_exceptions.py,9,4,15
NotImplementedError,basic_examples/python_exceptions.py,10,8,27
another_method,basic_examples/python_exceptions.py,12,4,18
MyMethodNotImplementedError,basic_examples/python_exceptions.py,13,8,35
some_method,basic_examples/python_exceptions.py,16,2,13
NotImplementedError,basic_examples/python_exceptions.py,17,7,26
e,basic_examples/python_exceptions.py,17,28,29
e,basic_examples/python_exceptions.py,18,38,39
another_method,basic_examples/python_exceptions.py,20,0,14
os,basic_examples/python_files.py,2,7,9
read_file,basic_examples/python_files.py,4,4,13
name,basic_examples/python_files.py,4,14,18
name,basic_examples/python_files.py,5,39,43
f,basic_examples/python_files.py,6,2,3
f,basic_examples/python_files.py,10,4,5
file,basic_examples/python_files.py,10,8,12
name,basic_examples/python_files.py,10,13,17
line,basic_examples/python_files.py,11,4,8
f,basic_examples/python_files.py,11,11,12
readline,basic_examples/python_files.py,11,13,21
len,basic_examples/python_files.py,12,10,13
line,basic_examples/python_files.py,12,14,18
line,basic_examples/python_files.py,13,12,16
line,basic_examples/python_files.py,14,6,10
f,basic_examples/python_files.py,14,13,14
readline,basic_examples/python_files.py,14,15,23
f,basic_examples/python_files.py,16,7,8
f,basic_examples/python_files.py,17,6,7
close,basic_examples/python_files.py,17,8,13
create_module,basic_examples/python_files.py,19,4,17
name,basic_examples/python_files.py,19,18,22
name,basic_examples/python_files.py,20,29,33
f,basic_examples/python_files.py,21,2,3
f,basic_examples/python_files.py,25,4,5
file,basic_examples/python_files.py,25,8,12
name,basic_examples/python_files.py,25,13,17
f,basic_examples/python_files.py,28,4,5
write,basic_examples/python_files.py,28,6,11
f,basic_examples/python_files.py,29,4,5
write,basic_examples/python_files.py,29,6,11
name,basic_examples/python_files.py,29,30,34
f,basic_examples/python_files.py,30,4,5
write,basic_examples/python_files.py,30,6,11
f,basic_examples/python_files.py,31,4,5
write,basic_examples/python_files.py,31,6,11
f,basic_examples/python_files.py,32,4,5
write,basic_examples/python_files.py,32,6,11
f,basic_examples/python_files.py,33,4,5
write,basic_examples/python_files.py,33,6,11
f,basic_examples/python_files.py,34,4,5
write,basic_examples/python_files.py,34,6,11
f,basic_examples/python_files.py,35,4,5
write,basic_examples/python_files.py,35,6,11
f,basic_examples/python_files.py,37,7,8
f,basic_examples/python_files.py,38,6,7
close,basic_examples/python_files.py,38,8,13
name,basic_examples/python_files.py,40,0,4
create_module,basic_examples/python_files.py,44,2,15
read_file,basic_examples/python_files.py,45,2,11
name,basic_examples/python_files.py,45,12,16
os,basic_examples/python_files.py,47,2,4
remove,basic_examples/python_files.py,47,5,11
name,basic_examples/python_files.py,47,12,16
Exception,basic_examples/python_files.py,48,7,16
e,basic_examples/python_files.py,48,18,19
e,basic_examples/python_files.py,49,45,46
maxCalled,basic_examples/python_functions.py,2,0,9
minCalled,basic_examples/python_functions.py,3,0,9
max_val,basic_examples/python_functions.py,8,4,11
a,basic_examples/python_functions.py,8,12,13
b,basic_examples/python_functions.py,8,14,15
maxCalled,basic_examples/python_functions.py,13,9,18
maxCalled,basic_examples/python_functions.py,14,2,11
maxCalled,basic_examples/python_functions.py,14,14,23
a,basic_examples/python_functions.py,16,5,6
b,basic_examples/python_functions.py,16,9,10
a,basic_examples/python_functions.py,17,11,12
b,basic_examples/python_functions.py,18,7,8
a,basic_examples/python_functions.py,18,11,12
b,basic_examples/python_functions.py,19,11,12
a,basic_examples/python_functions.py,21,11,12
min_val,basic_examples/python_functions.py,23,4,11
a,basic_examples/python_functions.py,23,12,13
b,basic_examples/python_functions.py,23,14,15
minCalled,basic_examples/python_functions.py,28,9,18
minCalled,basic_examples/python_functions.py,29,2,11
minCalled,basic_examples/python_functions.py,29,14,23
a,basic_examples/python_functions.py,31,5,6
b,basic_examples/python_functions.py,31,9,10
a,basic_examples/python_functions.py,32,11,12
b,basic_examples/python_functions.py,33,7,8
a,basic_examples/python_functions.py,33,11,12
b,basic_examples/python_functions.py,34,11,12
a,basic_examples/python_functions.py,36,11,12
print_usage,basic_examples/python_functions.py,38,4,15
init_msg,basic_examples/python_functions.py,38,16,24
max_val,basic_examples/python_functions.py,38,26,33
min_val,basic_examples/python_functions.py,38,40,47
maxCalled,basic_examples/python_functions.py,39,9,18
minCalled,basic_examples/python_functions.py,39,20,29
init_msg,basic_examples/python_functions.py,40,8,16
max_val,basic_examples/python_functions.py,41,5,12
maxCalled,basic_examples/python_functions.py,42,40,49
min_val,basic_examples/python_functions.py,43,5,12
minCalled,basic_examples/python_functions.py,44,41,50
max_val,basic_examples/python_functions.py,48,6,13
__doc__,basic_examples/python_functions.py,48,14,21
max_val,basic_examples/python_functions.py,49,0,7
max_val,basic_examples/python_functions.py,50,0,7
b,basic_examples/python_functions.py,50,10,11
max_val,basic_examples/python_functions.py,51,0,7
b,basic_examples/python_functions.py,51,8,9
a,basic_examples/python_functions.py,51,12,13
min_val,basic_examples/python_functions.py,54,6,13
__doc__,basic_examples/python_functions.py,54,14,21
min_val,basic_examples/python_functions.py,55,0,7
min_val,basic_examples/python_functions.py,56,0,7
min_val,basic_examples/python_functions.py,57,0,7
b,basic_examples/python_functions.py,57,10,11
print_usage,basic_examples/python_functions.py,59,0,11
jvm_langs,basic_examples/python_lists.py,2,0,9
jvm_langs,basic_examples/python_lists.py,5,20,29
__len__,basic_examples/python_lists.py,5,30,37
len,basic_examples/python_lists.py,10,20,23
jvm_langs,basic_examples/python_lists.py,10,24,33
jvm_langs,basic_examples/python_lists.py,13,0,9
append,basic_examples/python_lists.py,13,10,16
lang,basic_examples/python_lists.py,16,4,8
jvm_langs,basic_examples/python_lists.py,16,12,21
lang,basic_examples/python_lists.py,17,8,12
jvm_langs,basic_examples/python_lists.py,20,34,43
jvm_langs,basic_examples/python_lists.py,21,40,49
jvm_langs,basic_examples/python_lists.py,22,43,52
jvm_langs,basic_examples/python_lists.py,25,0,9
sort,basic_examples/python_lists.py,25,10,14
jvm_langs,basic_examples/python_lists.py,26,6,15
i,basic_examples/python_logical_lines.py,1,0,1
i,basic_examples/python_logical_lines.py,2,6,7
i,basic_examples/python_logical_lines.py,5,0,1
j,basic_examples/python_logical_lines.py,5,7,8
i,basic_examples/python_logical_lines.py,6,6,7
j,basic_examples/python_logical_lines.py,6,10,11
sys,basic_examples/python_modules.py,2,7,10
my_module,basic_examples/python_modules.py,3,7,16
sys,basic_examples/python_modules.py,6,40,43
argv,basic_examples/python_modules.py,6,44,48
sys,basic_examples/python_modules.py,8,28,31
path,basic_examples/python_modules.py,8,32,36
my_module,basic_examples/python_modules.py,11,0,9
sayHello,basic_examples/python_modules.py,11,10,18
num,basic_examples/python_numbers.py,4,0,3
num,basic_examples/python_numbers.py,5,73,76
num,basic_examples/python_numbers.py,7,32,35
num,basic_examples/python_numbers.py,8,34,37
num,basic_examples/python_numbers.py,15,0,3
num,basic_examples/python_numbers.py,16,20,23
max64BitInt,basic_examples/python_numbers.py,25,0,11
bigNum,basic_examples/python_numbers.py,26,0,6
max64BitInt,basic_examples/python_numbers.py,26,9,20
bigNum,basic_examples/python_numbers.py,27,31,37
InvoiceItem,basic_examples/python_objects.py,2,6,17
__str__,basic_examples/python_objects.py,4,6,13
self,basic_examples/python_objects.py,4,14,18
self,basic_examples/python_objects.py,5,11,15
text,basic_examples/python_objects.py,5,16,20
str,basic_examples/python_objects.py,5,29,32
self,basic_examples/python_objects.py,5,33,37
amt,basic_examples/python_objects.py,5,38,41
__init__,basic_examples/python_objects.py,7,6,14
self,basic_examples/python_objects.py,7,15,19
kwargs,basic_examples/python_objects.py,7,23,29
self,basic_examples/python_objects.py,8,4,8
text,basic_examples/python_objects.py,8,9,13
self,basic_examples/python_objects.py,9,4,8
amt,basic_examples/python_objects.py,9,9,12
kwargs,basic_examples/python_objects.py,10,7,13
self,basic_examples/python_objects.py,11,6,10
text,basic_examples/python_objects.py,11,11,15
kwargs,basic_examples/python_objects.py,11,18,24
kwargs,basic_examples/python_objects.py,12,7,13
self,basic_examples/python_objects.py,13,6,10
amt,basic_examples/python_objects.py,13,11,14
kwargs,basic_examples/python_objects.py,13,17,23
Invoice,basic_examples/python_objects.py,15,6,13
my_company_name,basic_examples/python_objects.py,17,2,17
staticmethod,basic_examples/python_objects.py,20,3,15
get_service_tax_per,basic_examples/python_objects.py,21,6,25
__str__,basic_examples/python_objects.py,25,6,13
self,basic_examples/python_objects.py,25,14,18
self,basic_examples/python_objects.py,26,11,15
number,basic_examples/python_objects.py,26,16,22
str,basic_examples/python_objects.py,26,31,34
self,basic_examples/python_objects.py,26,35,39
amt,basic_examples/python_objects.py,26,40,43
__init__,basic_examples/python_objects.py,28,6,14
self,basic_examples/python_objects.py,28,15,19
kwargs,basic_examples/python_objects.py,28,23,29
self,basic_examples/python_objects.py,29,4,8
number,basic_examples/python_objects.py,29,9,15
self,basic_examples/python_objects.py,30,4,8
client,basic_examples/python_objects.py,30,9,15
self,basic_examples/python_objects.py,31,4,8
date,basic_examples/python_objects.py,31,9,13
self,basic_examples/python_objects.py,32,4,8
invoice_items,basic_examples/python_objects.py,32,9,22
add_invoice_item,basic_examples/python_objects.py,34,6,22
self,basic_examples/python_objects.py,34,23,27
invoice_entry,basic_examples/python_objects.py,34,29,42
self,basic_examples/python_objects.py,35,4,8
invoice_items,basic_examples/python_objects.py,35,9,22
append,basic_examples/python_objects.py,35,23,29
invoice_entry,basic_examples/python_objects.py,35,30,43
amt,basic_examples/python_objects.py,37,6,9
self,basic_examples/python_objects.py,37,10,14
amt,basic_examples/python_objects.py,38,4,7
item,basic_examples/python_objects.py,39,8,12
self,basic_examples/python_objects.py,39,16,20
invoice_items,basic_examples/python_objects.py,39,21,34
amt,basic_examples/python_objects.py,40,6,9
amt,basic_examples/python_objects.py,40,12,15
item,basic_examples/python_objects.py,40,18,22
amt,basic_examples/python_objects.py,40,23,26
amt,basic_examples/python_objects.py,41,11,14
invoice,basic_examples/python_objects.py,43,0,7
Invoice,basic_examples/python_objects.py,43,10,17
invoice,basic_examples/python_objects.py,44,0,7
number,basic_examples/python_objects.py,44,8,14
invoice,basic_examples/python_objects.py,45,0,7
client,basic_examples/python_objects.py,45,8,14
invoice,basic_examples/python_objects.py,46,0,7
date,basic_examples/python_objects.py,46,8,12
invoice_item,basic_examples/python_objects.py,48,0,12
InvoiceItem,basic_examples/python_objects.py,48,15,26
text,basic_examples/python_objects.py,48,27,31
amt,basic_examples/python_objects.py,48,52,55
invoice,basic_examples/python_objects.py,49,0,7
add_invoice_item,basic_examples/python_objects.py,49,8,24
invoice_item,basic_examples/python_objects.py,49,25,37
invoice,basic_examples/python_objects.py,51,6,13
os,basic_examples/python_os_module.py,6,7,9
os,basic_examples/python_os_module.py,8,33,35
name,basic_examples/python_os_module.py,8,36,40
os,basic_examples/python_os_module.py,9,25,27
getlogin,basic_examples/python_os_module.py,9,28,36
os,basic_examples/python_os_module.py,10,45,47
getcwd,basic_examples/python_os_module.py,10,48,54
os,basic_examples/python_os_module.py,11,31,33
getenv,basic_examples/python_os_module.py,11,34,40
sys,basic_examples/python_read.py,1,5,8
argv,basic_examples/python_read.py,1,16,20
script,basic_examples/python_read.py,3,0,6
filename,basic_examples/python_read.py,3,8,16
argv,basic_examples/python_read.py,3,19,23
fp,basic_examples/python_read.py,4,0,2
open,basic_examples/python_read.py,4,5,9
filename,basic_examples/python_read.py,4,10,18
fp,basic_examples/python_read.py,5,27,29
fp,basic_examples/python_read.py,6,6,8
read,basic_examples/python_read.py,6,9,13
fp,basic_examples/python_read.py,7,0,2
close,basic_examples/python_read.py,7,3,8
jvm_langs,basic_examples/python_sequences.py,6,0,9
jvm_langs,basic_examples/python_sequences.py,7,37,46
jvm_langs,basic_examples/python_sequences.py,10,49,58
jvm_langs,basic_examples/python_sequences.py,11,39,48
jvm_langs,basic_examples/python_sequences.py,12,40,49
name,basic_examples/python_sequences.py,14,0,4
name,basic_examples/python_sequences.py,15,28,32
add_all,basic_examples/python_star_args_and_kwargs.py,2,4,11
list_of_nums,basic_examples/python_star_args_and_kwargs.py,2,13,25
sum,basic_examples/python_star_args_and_kwargs.py,3,2,5
num,basic_examples/python_star_args_and_kwargs.py,4,6,9
list_of_nums,basic_examples/python_star_args_and_kwargs.py,4,13,25
sum,basic_examples/python_star_args_and_kwargs.py,5,4,7
sum,basic_examples/python_star_args_and_kwargs.py,5,10,13
num,basic_examples/python_star_args_and_kwargs.py,5,16,19
join,basic_examples/python_star_args_and_kwargs.py,6,22,26
str,basic_examples/python_star_args_and_kwargs.py,6,27,30
n,basic_examples/python_star_args_and_kwargs.py,6,31,32
n,basic_examples/python_star_args_and_kwargs.py,6,38,39
list_of_nums,basic_examples/python_star_args_and_kwargs.py,6,43,55
sum,basic_examples/python_star_args_and_kwargs.py,6,65,68
add_all,basic_examples/python_star_args_and_kwargs.py,8,0,7
nums,basic_examples/python_star_args_and_kwargs.py,10,0,4
add_all,basic_examples/python_star_args_and_kwargs.py,11,0,7
nums,basic_examples/python_star_args_and_kwargs.py,11,9,13
nums,basic_examples/python_star_args_and_kwargs.py,13,0,4
add_all,basic_examples/python_star_args_and_kwargs.py,14,0,7
nums,basic_examples/python_star_args_and_kwargs.py,14,9,13
add_all_msg,basic_examples/python_star_args_and_kwargs.py,16,4,15
args,basic_examples/python_star_args_and_kwargs.py,16,17,21
kwargs,basic_examples/python_star_args_and_kwargs.py,16,25,31
kwargs,basic_examples/python_star_args_and_kwargs.py,17,8,14
add_all,basic_examples/python_star_args_and_kwargs.py,18,2,9
args,basic_examples/python_star_args_and_kwargs.py,18,11,15
kwargs,basic_examples/python_star_args_and_kwargs.py,19,8,14
add_all_msg,basic_examples/python_star_args_and_kwargs.py,21,0,11
before,basic_examples/python_star_args_and_kwargs.py,21,18,24
after,basic_examples/python_star_args_and_kwargs.py,21,43,48
string,basic_examples/python_string_interpolation.py,2,5,11
Template,basic_examples/python_string_interpolation.py,2,19,27
greeting,basic_examples/python_string_interpolation.py,4,0,8
name,basic_examples/python_string_interpolation.py,5,0,4
print,basic_examples/python_string_interpolation.py,7,0,5
greeting,basic_examples/python_string_interpolation.py,7,29,37
name,basic_examples/python_string_interpolation.py,7,39,43
locals,basic_examples/python_string_interpolation.py,9,45,51
Template,basic_examples/python_string_interpolation.py,11,6,14
substitute,basic_examples/python_string_interpolation.py,11,47,57
locals,basic_examples/python_string_interpolation.py,11,58,64
greeting,basic_examples/python_strings.py,35,0,8
greeting,basic_examples/python_strings.py,36,32,40
len,basic_examples/python_strings.py,36,51,54
greeting,basic_examples/python_strings.py,36,55,63
greeting,basic_examples/python_strings.py,39,14,22
greeting,basic_examples/python_strings.py,42,3,11
find,basic_examples/python_strings.py,42,12,16
jvm_langs,basic_examples/python_tuples.py,4,0,9
jvm_langs,basic_examples/python_tuples.py,5,6,15
jvm_langs_revised,basic_examples/python_tuples.py,9,0,17
jvm_langs,basic_examples/python_tuples.py,9,51,60
jvm_langs_revised,basic_examples/python_tuples.py,11,6,23
sys,basic_examples/python_write.py,1,5,8
argv,basic_examples/python_write.py,1,16,20
script,basic_examples/python_write.py,3,0,6
filename,basic_examples/python_write.py,3,8,16
argv,basic_examples/python_write.py,3,19,23
fp,basic_examples/python_write.py,4,0,2
open,basic_examples/python_write.py,4,5,9
filename,basic_examples/python_write.py,4,10,18
fp,basic_examples/python_write.py,5,30,32
fp,basic_examples/python_write.py,6,0,2
write,basic_examples/python_write.py,6,3,8
fp,basic_examples/python_write.py,7,0,2
close,basic_examples/python_write.py,7,3,8
os,mini_projects/adaptive_backup.py,3,7,9
time,mini_projects/adaptive_backup.py,4,7,11
tarfile,mini_projects/adaptive_backup.py,5,7,14
bk_src,mini_projects/adaptive_backup.py,8,0,6
bk_dest,mini_projects/adaptive_backup.py,12,0,7
bk_fn,mini_projects/adaptive_backup.py,14,0,5
bk_dest,mini_projects/adaptive_backup.py,14,8,15
time,mini_projects/adaptive_backup.py,14,18,22
strftime,mini_projects/adaptive_backup.py,14,23,31
zip_cmd,mini_projects/adaptive_backup.py,15,0,7
bk_fn,mini_projects/adaptive_backup.py,15,31,36
join,mini_projects/adaptive_backup.py,15,42,46
bk_src,mini_projects/adaptive_backup.py,15,47,53
tar_file,mini_projects/adaptive_backup.py,17,0,8
tarfile,mini_projects/adaptive_backup.py,17,11,18
open,mini_projects/adaptive_backup.py,17,19,23
bk_fn,mini_projects/adaptive_backup.py,17,24,29
file,mini_projects/adaptive_backup.py,18,4,8
bk_src,mini_projects/adaptive_backup.py,18,12,18
tar_file,mini_projects/adaptive_backup.py,19,2,10
add,mini_projects/adaptive_backup.py,19,11,14
file,mini_projects/adaptive_backup.py,19,15,19
tar_file,mini_projects/adaptive_backup.py,20,0,8
close,mini_projects/adaptive_backup.py,20,9,14
unittest,tdd/iostubbing/all_tests.py,0,7,15
test_write_user_details,tdd/iostubbing/all_tests.py,1,7,30
test_write_user_details_istub,tdd/iostubbing/all_tests.py,2,7,36
suite1,tdd/iostubbing/all_tests.py,4,0,6
unittest,tdd/iostubbing/all_tests.py,4,9,17
TestLoader,tdd/iostubbing/all_tests.py,4,18,28
loadTestsFromTestCase,tdd/iostubbing/all_tests.py,4,31,52
test_write_user_details,tdd/iostubbing/all_tests.py,4,53,76
TestUserDetails,tdd/iostubbing/all_tests.py,4,77,92
suite1,tdd/iostubbing/all_tests.py,5,0,6
addTests,tdd/iostubbing/all_tests.py,5,7,15
unittest,tdd/iostubbing/all_tests.py,5,16,24
TestLoader,tdd/iostubbing/all_tests.py,5,25,35
loadTestsFromTestCase,tdd/iostubbing/all_tests.py,5,38,59
test_write_user_details_istub,tdd/iostubbing/all_tests.py,5,60,89
TestUserDetails,tdd/iostubbing/all_tests.py,5,90,105
unittest,tdd/iostubbing/all_tests.py,7,0,8
TextTestRunner,tdd/iostubbing/all_tests.py,7,9,23
verbosity,tdd/iostubbing/all_tests.py,7,24,33
run,tdd/iostubbing/all_tests.py,7,37,40
suite1,tdd/iostubbing/all_tests.py,7,41,47
unittest,tdd/iostubbing/test_write_user_details.py,0,7,15
TestUserDetails,tdd/iostubbing/test_write_user_details.py,2,6,21
unittest,tdd/iostubbing/test_write_user_details.py,2,22,30
TestCase,tdd/iostubbing/test_write_user_details.py,2,31,39
setUp,tdd/iostubbing/test_write_user_details.py,4,8,13
self,tdd/iostubbing/test_write_user_details.py,4,14,18
super,tdd/iostubbing/test_write_user_details.py,5,8,13
TestUserDetails,tdd/iostubbing/test_write_user_details.py,5,14,29
self,tdd/iostubbing/test_write_user_details.py,5,31,35
setUp,tdd/iostubbing/test_write_user_details.py,5,37,42
tearDown,tdd/iostubbing/test_write_user_details.py,8,8,16
self,tdd/iostubbing/test_write_user_details.py,8,17,21
super,tdd/iostubbing/test_write_user_details.py,9,8,13
TestUserDetails,tdd/iostubbing/test_write_user_details.py,9,14,29
self,tdd/iostubbing/test_write_user_details.py,9,31,35
tearDown,tdd/iostubbing/test_write_user_details.py,9,37,45
test_output_file_contents,tdd/iostubbing/test_write_user_details.py,12,8,33
self,tdd/iostubbing/test_write_user_details.py,12,34,38
fp,tdd/iostubbing/test_write_user_details.py,13,8,10
open,tdd/iostubbing/test_write_user_details.py,13,13,17
name,tdd/iostubbing/test_write_user_details.py,14,8,12
fp,tdd/iostubbing/test_write_user_details.py,14,15,17
readline,tdd/iostubbing/test_write_user_details.py,14,18,26
age,tdd/iostubbing/test_write_user_details.py,15,8,11
fp,tdd/iostubbing/test_write_user_details.py,15,14,16
readline,tdd/iostubbing/test_write_user_details.py,15,17,25
city,tdd/iostubbing/test_write_user_details.py,16,8,12
fp,tdd/iostubbing/test_write_user_details.py,16,15,17
readline,tdd/iostubbing/test_write_user_details.py,16,18,26
self,tdd/iostubbing/test_write_user_details.py,17,8,12
assertEqual,tdd/iostubbing/test_write_user_details.py,17,13,24
name,tdd/iostubbing/test_write_user_details.py,17,25,29
len,tdd/iostubbing/test_write_user_details.py,17,32,35
name,tdd/iostubbing/test_write_user_details.py,17,36,40
self,tdd/iostubbing/test_write_user_details.py,18,8,12
assertEqual,tdd/iostubbing/test_write_user_details.py,18,13,24
age,tdd/iostubbing/test_write_user_details.py,18,25,28
len,tdd/iostubbing/test_write_user_details.py,18,31,34
age,tdd/iostubbing/test_write_user_details.py,18,35,38
self,tdd/iostubbing/test_write_user_details.py,19,8,12
assertEqual,tdd/iostubbing/test_write_user_details.py,19,13,24
city,tdd/iostubbing/test_write_user_details.py,19,25,29
len,tdd/iostubbing/test_write_user_details.py,19,32,35
city,tdd/iostubbing/test_write_user_details.py,19,36,40
__name__,tdd/iostubbing/test_write_user_details.py,21,3,11
unittest,tdd/iostubbing/test_write_user_details.py,22,4,12
main,tdd/iostubbing/test_write_user_details.py,22,13,17
unittest,tdd/iostubbing/test_write_user_details_iostub.py,0,7,15
write_user_details,tdd/iostubbing/test_write_user_details_iostub.py,1,7,25
sys,tdd/iostubbing/test_write_user_details_iostub.py,2,7,10
